station_name,lat,lon,station_id
E 52 St & 2 Ave,40.756014,-73.967416,117
E 53 St & Lexington Ave,40.75828065,-73.97069431,118
E 53 St & Madison Ave,40.7597108,-73.97402311,119
E 55 St & 2 Ave,40.75797322,-73.96603308,120
E 55 St & Lexington Ave,40.75968085,-73.97031366,121
E 56 St & Madison Ave,40.761628,-73.972924,122
E 58 St & 3 Ave,40.76095756,-73.96724467,123
E 6 St & Avenue B,40.72453734,-73.98185424,124
E 6 St & Avenue D,40.72228087,-73.97668709,125
E 60 St & York Ave,40.759107,-73.959223,126
E 7 St & Avenue A,40.72621788,-73.98379855,127
E 9 St & Avenue C,40.72521311,-73.97768752,128
Elizabeth St & Hester St,40.71729,-73.996375,129
FDR Drive & E 35 St,40.744219,-73.97121214,130
Forsyth St & Broome St,40.71893904,-73.99266288,131
Forsyth St & Canal St,40.7158155,-73.99422366,132
Franklin St & W Broadway,40.71911552,-74.00666661,133
Front St & Maiden Ln,40.70530954,-74.00612572,134
Front St & Washington St,40.70255088,-73.98940236,135
Fulton St & Rockwell Pl,40.688226,-73.979382,136
Fulton St & William St,40.70955958,-74.00653609,137
Grand Army Plaza & Central Park S,40.7643971,-73.97371465,138
Grand St & Greene St,40.72165481,-74.00234737,139
Grand St & Havemeyer St,40.71286844,-73.95698119,140
Great Jones St,40.72743423,-73.99379025,141
Greenwich Ave & 8 Ave,40.73901691,-74.00263761,142
Greenwich Ave & Charles St,40.735238,-74.000271,143
Greenwich St & N Moore St,40.72043411,-74.01020609,144
Greenwich St & Warren St,40.71542197,-74.01121978,145
Harrison St & Hudson St,40.71870987,-74.0090009,146
Henry St & Atlantic Ave,40.69089272,-73.99612349,147
Hicks St & Montague St,40.69512845,-73.99595065,148
Howard St & Centre St,40.71910537,-73.99973337,149
Hudson St & Reade St,40.71625008,-74.0091059,150
Jay St & Tech Pl,40.695065,-73.987167,151
John St & William St,40.70862144,-74.00722156,152
Johnson St & Gold St,40.69474881,-73.98362464,153
Joralemon St & Adams St,40.69246277,-73.98963911,154
Kent Ave & S 11 St,40.7076449441757,-73.9684152603149,155
LaGuardia Pl & W 3 St,40.72917025,-73.99810231,156
Lafayette Ave & Fort Greene Pl,40.68691865,-73.976682,157
Lafayette St & E 8 St,40.73028666,-73.9907647,158
Lafayette St & Jersey St,40.72456089,-73.99565293,159
Laight St & Hudson St,40.72185379,-74.00771779,160
Lawrence St & Willoughby St,40.69236178,-73.98631746,161
Leonard St & Church St,40.717571,-74.005549,162
Lexington Ave & E 24 St,40.74025878,-73.98409214,163
Liberty St & Broadway,40.70905623,-74.01043382,164
Lispenard St & Broadway,40.71939226,-74.00247214,165
Little West St & 1 Pl,40.70569254,-74.01677685,166
MacDougal St & Prince St,40.72710258,-74.00297088,167
MacDougal St & Washington Sq,40.73226398,-73.99852205,168
Madison St & Clinton St,40.71269042,-73.98776323,169
Madison St & Montgomery St,40.713126,-73.984844,170
Maiden Ln & Pearl St,40.70706456,-74.00731853,171
Market St & Cherry St,40.71076228,-73.99400398,172
Mercer St & Spring St,40.72362738,-73.99949601,173
Metropolitan Ave & Bedford Ave,40.71534825,-73.96024116,174
Montague St & Clinton St,40.69424674,-73.99215922,175
Mott St & Prince St,40.72317958,-73.99480012,176
Murray St & West St,40.7149787,-74.013012,177
Norfolk St & Broome St,40.7172274,-73.98802084,178
Old Fulton St,40.70277159,-73.99383605,179
Old Slip & Front St,40.7037992,-74.00838676,180
Pearl St & Anchorage Pl,40.70281858,-73.98765762,181
Pearl St & Hanover Square,40.7047177,-74.00926027,182
Perry St & Bleecker St,40.73535398,-74.00483091,183
Pershing Square North,40.751873,-73.977706,184
Pershing Square South,40.751581,-73.97791,185
Pike St & E Broadway,40.71406667,-73.99293911,186
Pike St & Monroe St,40.71173107,-73.99193043,187
Pitt St & Stanton St,40.71926081,-73.98178024,188
Reade St & Broadway,40.71450451,-74.00562789,189
Rivington St & Chrystie St,40.72110063,-73.9919254,190
S 3 St & Bedford Ave,40.71260486,-73.96264403,191
S 4 St & Wythe Ave,40.71285887,-73.96590294,192
S 5 Pl & S 4 St,40.710451,-73.960876,193
Sands St & Gold St,40.69986937,-73.98271933,194
Shevchenko Pl & E 7 St,40.728145,-73.990214,195
South End Ave & Liberty St,40.711512,-74.015756,196
South St & Gouverneur Ln,40.70355377,-74.00670227,197
South St & Whitehall St,40.70122128,-74.01234218,198
Spruce St & Nassau St,40.71146364,-74.00552427,199
St James Pl & Oliver St,40.71307916,-73.99851193,200
St James Pl & Pearl St,40.71117416,-74.00016545,201
St Marks Pl & 1 Ave,40.72779126,-73.98564945,202
St Marks Pl & 2 Ave,40.7284186,-73.98713956,203
Stanton St & Chrystie St,40.72229346,-73.99147535,204
Stanton St & Mangin St,40.71782143,-73.97628939,205
State St,40.70251526,-74.01427023,206
State St & Smith St,40.68926942,-73.98912867,207
Suffolk St & Stanton St,40.72066442,-73.98517977,208
Sullivan St & Washington Sq,40.73047747,-73.99906065,209
University Pl & E 14 St,40.73492695,-73.99200509,210
Vesey Pl & River Terrace,40.7153379,-74.01658354,211
W 13 St & 6 Ave,40.73649403,-73.99704374,212
W 13 St & 7 Ave,40.73781509,-73.99994661,213
W 14 St & The High Line,40.74195138,-74.00803013,214
W 15 St & 7 Ave,40.73935542,-73.99931783,215
W 16 St & The High Line,40.74334935,-74.00681753,216
W 17 St & 8 Ave,40.74177603,-74.00149746,217
W 18 St & 6 Ave,40.73971301,-73.99456405,218
W 20 St & 11 Ave,40.746745,-74.007756,219
W 20 St & 7 Ave,40.74238787,-73.99726235,220
W 20 St & 8 Ave,40.74345335,-74.00004031,221
W 21 St & 6 Ave,40.74173969,-73.99415556,222
W 22 St & 10 Ave,40.74691959,-74.00451887,223
W 22 St & 8 Ave,40.74475148,-73.99915362,224
W 24 St & 7 Ave,40.74487634,-73.99529885,225
W 25 St & 6 Ave,40.74395411,-73.99144871,226
W 26 St & 10 Ave,40.74971775,-74.00295035,227
W 26 St & 8 Ave,40.74734825,-73.99723551,228
W 27 St & 7 Ave,40.746647,-73.993915,229
W 31 St & 7 Ave,40.749156,-73.9916,230
W 33 St & 7 Ave,40.75019995,-73.99093085,231
W 34 St & 11 Ave,40.75594159,-74.0021163,232
W 37 St & 10 Ave,40.75660359,-73.9979009,233
W 37 St & 5 Ave,40.75038009,-73.98338988,234
W 38 St & 8 Ave,40.75466591,-73.99138152,235
W 39 St & 9 Ave,40.75645824,-73.99372222,236
W 4 St & 7 Ave S,40.73401143,-74.00293877,237
W 41 St & 8 Ave,40.75640548,-73.9900262,238
W 42 St & 8 Ave,40.7575699,-73.99098507,239
W 43 St & 10 Ave,40.76009437,-73.99461843,240
W 44 St & 5 Ave,40.75500254,-73.98014437,241
W 45 St & 6 Ave,40.7568001,-73.98291153,242
W 45 St & 8 Ave,40.75929124,-73.98859651,243
W 46 St & 11 Ave,40.76341379,-73.99667444,244
W 47 St & 10 Ave,40.76269882,-73.99301222,245
W 49 St & 8 Ave,40.76227205,-73.98788205,246
W 51 St & 6 Ave,40.7606597,-73.98042047,247
W 52 St & 11 Ave,40.76727216,-73.99392888,248
W 52 St & 5 Ave,40.75992262,-73.97648516,249
W 52 St & 9 Ave,40.76461837,-73.98789473,250
W 53 St & 10 Ave,40.76669671,-73.99061728,251
W 54 St & 9 Ave,40.76584941,-73.98690506,252
W 56 St & 10 Ave,40.768254,-73.988639,253
W 56 St & 6 Ave,40.76340613,-73.97722479,254
W 59 St & 10 Ave,40.770513,-73.988038,255
W Broadway & Spring St,40.72490985,-74.00154702,256
W Houston St & Hudson St,40.72873888,-74.00748842,257
Warren St & Church St,40.71473993,-74.00910627,258
Washington Ave & Park Ave,40.69610226,-73.96751037,259
Washington Park,40.69178232,-73.97372989,260
Washington Pl & 6 Ave,40.73224119,-74.00026394,261
Washington Pl & Broadway,40.72903917,-73.99404649,262
Washington St & Gansevoort St,40.739323,-74.008119,263
Water - Whitehall Plaza,40.70255065,-74.0127234,264
Watts St & Greenwich St,40.72405549,-74.00965965,265
West St & Chambers St,40.71754834,-74.01322069,266
West Thames St,40.70834698,-74.01713445,267
William St & Pine St,40.70717936,-74.00887308,268
Willoughby Ave & Hall St,40.69196035,-73.96536851,269
Willoughby St & Fleet St,40.69196566,-73.9813018,270
Wythe Ave & Metropolitan Ave,40.716887,-73.963198,271
